x1,x2,x3,x4,y
1000,1003,1021,1000,1007.925
1000,1001,1056,1000,1030.6958
1000,1003,1018,1001,1007.8542
1000,1003,1000,1003,1025.4667
1000,1001,1050,1000,1028.7125
1000,1002,1030,1000,1013
1000,1003,1036,1000,1000
1000,1003,1000,1008,1069.55
1000,1002,1000,1000,1015.05
1000,1003,1009,1004,1031.3875
1001,1002,1001,1002,1039
1001,1003,1004,1000,1022.025
1000,1001,1000,1000,1050
1001,1003,1000,1001,1015.5
1001,1001,1045,1000,1026.55
1000,1003,1040,1001,1015.5
1000,1003,1036,1000,1007.8958
1001,1002,1032,1000,1013
1000,1002,1019,1000,1013
1001,1003,1019,1001,1007.8542
1001,1002,1003,1001,1026
1001,1001,1044,1000,1027.7208
1001,1001,1058,1000,1146.5208
1000,1003,1000,1000,1007.75
1000,1003,1042,1000,1008.4042
1001,1003,1000,1000,1007.75
1000,1002,1024,1000,1013
1000,1003,1028,1000,1009.5
1000,1003,1000,1008,1069.55
1000,1003,1034,1000,1006.4958
1000,1003,1045.5,1000,1007.225
1001,1003,1018,1000,1008.05
1000,1003,1002,1000,1010.4625
1000,1003,1032,1001,1015.85
1001,1003,1026,1000,1018.7875
1001,1003,1016,1000,1007.75
1001,1001,1040,1000,1031
1000,1003,1024,1000,1007.05
1001,1002,1035,1000,1021
1000,1003,1022,1000,1007.25
1000,1002,1030,1000,1013
1000,1003,1000,1001,1007.75
1001,1001,1031,1001,1113.275
1001,1003,1027,1000,1007.925
1000,1002,1042,1001,1027
1001,1001,1032,1000,1076.2917
1000,1002,1030,1000,1010.5
1001,1003,1016,1000,1008.05
1000,1002,1027,1000,1013
1000,1003,1051,1000,1008.05
1000,1003,1000,1000,1007.8958
1001,1001,1038,1001,1090
1000,1003,1022,1000,1009.35
1001,1002,1019,1000,1010.5
1000,1003,1020.5,1000,1007.25
1000,1002,1018,1000,1013
1000,1003,1000,1003,1025.4667
1001,1001,1035,1001,1083.475
1000,1003,1029,1000,1007.775
1000,1002,1059,1000,1013.5
1001,1003,1005,1004,1031.3875
1000,1002,1024,1000,1010.5
1000,1003,1000,1000,1007.55
1000,1002,1044,1001,1026
1001,1002,1008,1000,1026.25
1000,1002,1020,1000,1010.5
1000,1002,1033,1000,1012.275
1000,1003,1000,1001,1014.4542
1001,1003,1000,1001,1015.5
1000,1002,1029,1000,1010.5
1000,1003,1022,1000,1007.125
1000,1003,1030,1000,1007.225
1000,1001,1044,1002,1090
1000,1003,1025,1000,1007.775
1001,1002,1024,1000,1014.5
1001,1001,1037,1001,1052.5542
1000,1002,1054,1001,1026
1000,1003,1000,1000,1007.25
1000,1003,1029,1001,1010.4625
1000,1001,1062,1000,1026.55
1000,1003,1030,1001,1016.1
1000,1003,1041,1000,1020.2125
1001,1003,1029,1000,1015.2458
1001,1001,1000,1000,1079.2
1001,1001,1030,1000,1086.5
1001,1001,1035,1000,1512.3292
1001,1002,1050,1000,1026
1000,1003,1000,1000,1007.75
1001,1003,1003,1004,1031.3875
1000,1001,1052,1001,1079.65
1000,1001,1040,1000,1000
1000,1003,1000,1000,1007.75
1000,1002,1036,1000,1010.5
1000,1003,1016,1004,1039.6875
1001,1003,1025,1001,1007.775
1001,1001,1058,1000,1153.4625
1001,1001,1035,1000,1135.6333
1000,1001,1000,1000,1031
1001,1003,1025,1000,1000
1001,1002,1041,1000,1019.5
1000,1001,1037,1000,1029.7
1001,1003,1000,1000,1007.75
1001,1001,1063,1001,1077.9583
1000,1003,1045,1000,1007.75
1000,1002,1000,1000,1000
1000,1003,1007,1004,1029.125
1001,1003,1035,1001,1020.25
1000,1003,1065,1000,1007.75
1000,1003,1028,1000,1007.8542
1000,1003,1016,1000,1009.5
1001,1003,1019,1000,1008.05
1000,1001,1000,1000,1026
1000,1003,1033,1000,1008.6625
1001,1003,1030,1000,1009.5
1000,1003,1022,1000,1007.8958
1001,1002,1042,1000,1013
1001,1003,1022,1000,1007.75
1001,1001,1026,1000,1078.85
1001,1001,1019,1001,1091.0792
1000,1002,1036,1000,1012.875
1000,1003,1024,1000,1008.85
1000,1003,1024,1000,1007.8958
1000,1001,1000,1000,1027.7208
1000,1003,1023.5,1000,1007.2292
1000,1001,1002,1001,1151.55
1001,1001,1000,1000,1030.5
1001,1001,1050,1000,1247.5208
1001,1003,1000,1000,1007.75
1001,1003,1000,1002,1023.25
1000,1003,1019,1000,1000
1001,1002,1000,1000,1012.35
1000,1003,1000,1000,1008.05
1001,1001,1000.92,1001,1151.55
1001,1001,1000,1000,1110.8833
1001,1001,1017,1001,1108.9
1000,1002,1030,1001,1024
1001,1001,1030,1000,1056.9292
1001,1001,1024,1000,1083.1583
1001,1001,1018,1002,1262.375
1000,1002,1026,1001,1026
1000,1003,1028,1000,1007.8958
1000,1002,1043,1001,1026.25
1001,1003,1026,1000,1007.8542
1001,1002,1024,1001,1026
1000,1002,1054,1000,1014
1001,1001,1031,1000,1164.8667
1001,1001,1040,1001,1134.5
1000,1003,1022,1000,1007.25
1000,1003,1027,1000,1007.8958
1001,1002,1030,1000,1012.35
1001,1002,1022,1001,1029
1000,1003,1000,1008,1069.55
1001,1001,1036,1000,1135.6333
1000,1003,1061,1000,1006.2375
1001,1002,1036,1000,1013
1001,1003,1031,1001,1020.525
1001,1001,1016,1000,1057.9792
1001,1003,1000,1002,1023.25
1000,1001,1045.5,1000,1028.5
1000,1001,1038,1000,1153.4625
1000,1003,1016,1002,1018
1001,1001,1000,1001,1133.65
1000,1003,1000,1000,1007.8958
1000,1001,1029,1001,1066.6
1001,1001,1041,1000,1134.5
1001,1003,1045,1000,1008.05
1000,1001,1045,1000,1035.5
1001,1002,1002,1001,1026
1001,1001,1024,1003,1263
1000,1002,1028,1000,1013
1000,1002,1025,1000,1013
1000,1002,1036,1000,1013
1001,1002,1024,1000,1013
1001,1002,1040,1000,1013
1001,1003,1000,1001,1016.1
1001,1003,1003,1001,1015.9
1000,1003,1042,1000,1008.6625
1000,1003,1023,1000,1009.225
1000,1001,1000,1000,1035
1000,1003,1015,1001,1007.2292
1000,1003,1025,1001,1017.8
1000,1003,1000,1000,1007.225
1000,1003,1028,1000,1009.5
1001,1001,1022,1000,1055
1000,1002,1038,1000,1013
1001,1003,1000,1000,1007.8792
1001,1003,1000,1000,1007.8792
1000,1003,1040,1001,1027.9
1000,1002,1029,1001,1027.7208
1000,1003,1045,1000,1014.4542
1000,1003,1035,1000,1007.05
1000,1003,1000,1001,1015.5
1000,1003,1030,1000,1007.25
1001,1001,1060,1001,1075.25
1001,1003,1000,1000,1007.2292
1001,1003,1000,1000,1007.75
1001,1001,1024,1000,1069.3
1001,1001,1025,1001,1055.4417
1000,1003,1018,1001,1006.4958
1000,1003,1019,1000,1008.05
1000,1001,1022,1000,1135.6333
1000,1003,1003,1003,1021.075
1001,1001,1000,1001,1082.1708
1001,1003,1022,1000,1007.25
1000,1001,1027,1000,1211.5
1000,1003,1020,1000,1004.0125
1000,1003,1019,1000,1007.775
1001,1001,1042,1000,1227.525
1001,1003,1001,1000,1015.7417
1000,1003,1032,1000,1007.925
1001,1001,1035,1001,1052
1000,1003,1000,1000,1007.8958
1000,1002,1018,1000,1073.5
1000,1003,1001,1005,1046.9
1001,1002,1036,1000,1013
1000,1003,1000,1000,1007.7292
1001,1002,1017,1000,1012
1001,1001,1036,1001,1120
1001,1003,1021,1000,1007.7958
1000,1003,1028,1002,1007.925
1001,1001,1023,1001,1113.275
1001,1003,1024,1000,1016.7
1000,1003,1022,1000,1007.7958
1000,1003,1031,1000,1007.8542
1000,1002,1046,1000,1026
1000,1002,1023,1000,1010.5
