Hospital name,Phone number,Street address,Suburb,Postcode,State,Local Hospital Network (LHN),Primary Health Network area (PHN),Website,Description,Sector,Beds,Latitude,Longitude,Hospital_ID
Alice Springs Hospital,08 8951 7777,6 Gap Road,Alice Springs,870,NT,Central Australia (NT),Northern Territory,www.health.nt.gov.au/Hospitals/Alice_Springs_Hospital/index.aspx,Large regional hospital with an emergency department,Public,100-199,-23.705758,133.878064,13
Allowah Presbyterian Children's Hospital,02 9858 4994,8 Perry Street,Dundas,2117,NSW,,,www.allowah.org.au,,Private,<50,-33.791787,151.06387,14
Alpha Hospital,07 4809 7000,1 Burns Street,Alpha,4724,Qld,Central West (Qld),Western Queensland,http://www.centralwest.health.qld.gov.au/our-locations/alpha,Regional hospital,Public,<50,-23.649039,146.632962,15
Alpine Health [Bright],03 5755 0100,36-42 Cobden Street,Bright,3741,Vic,Alpine Health (Vic),Murray,www.alpinehealth.org.au,Small hospital,Public,<50,-36.732701,146.965924,16
Alpine Health [Mount Beauty],03 5754 3500,10 Hollonds Street,Mt Beauty,3699,Vic,Alpine Health (Vic),Murray,www.alpinehealth.org.au,Regional hospital,Public,<50,-36.743354,147.169359,17
Alpine Health [Myrtleford],03 5751 9300,30 O'Donnell Avenue,Myrtleford,3736,Vic,Alpine Health (Vic),Murray,www.alpinehealth.org.au,Regional hospital,Public,<50,-36.554525,146.728795,18
Angaston District Hospital,08 8563 8500,29 North Street,Angaston,5353,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/angastonhospital,Small hospital,Public,<50,-34.503549,139.054715,19
Angliss Hospital,1300 342 255,Albert Street,Upper Ferntree Gully,3156,Vic,Eastern Health (Vic),Eastern Melbourne,https://www.easternhealth.org.au/locations/angliss-hospital/item/215,Medium metropolitan hospital with an emergency department,Public,100-199,-37.898663,145.314166,20
Armadale-Kelmscott Memorial Hospital,08 9391 2000,3056 Albany Highway,Armadale,6112,WA,East Metropolitan Health Service (WA),Perth South,www.health.wa.gov.au/services/detail.cfm?Unit_ID=6,Large metropolitan hospital with an emergency department,Public,200-500,-32.133212,116.020023,21
Armidale Hospital,02 6776 9500,226 Rusden Street,Armidale,2350,NSW,Hunter New England,Hunter New England and Central Coast,,Medium regional hospital with an emergency department,Public,50-99,-30.512726,151.655629,22
Armidale Private Hospital,02 6771 4000,Rusden Street,Armidale,2350,NSW,,,,,Private,<50,-30.512719,151.654565,23
Ashford Hospital,08 8375 5222,55 Anzac Highway,Ashford,5035,SA,,,www.ashfordhospital.org.au,,Private,200-500,-34.948142,138.576725,24
Atherton Hospital,07 4091 0211,Corner of Louise and Jack Streets,Atherton,4883,Qld,Cairns and Hinterland,Northern Queensland,www.health.qld.gov.au/services/cairns-hinterland/cairns_ath_hosp.asp,Small hospital,Public,50-99,-17.266635,145.483177,25
Attadale Rehabilitation Hospital,08 9330 1000,21 Hislop Road,Attadale,6156,WA,,,www.attadalerehabilitation.com.au,,Private,<50,-32.029729,115.810669,26
Auburn Hospital,02 8759 3000,18-20 Hargrave Road,Auburn,2144,NSW,Western Sydney,Western Sydney,www.wslhd.health.nsw.gov.au/Auburn-Hospital,Medium metropolitan hospital with an emergency department,Public,100-199,-33.859867,151.033204,27
Augathella Hospital,07 4656 7100,Cavanagh Street,Augathella,4477,Qld,South West (Qld),Western Queensland,www.health.qld.gov.au/services/southwest/swest_auga_hosp.asp,Regional hospital,Public,<50,-25.796104,146.590919,28
Augusta Hospital,08 9758 3222,Donovan Street,Augusta,6290,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=10,Regional hospital,Public,<50,-34.305814,115.157983,29
Austin Hospital [Heidelberg],03 9496 5000,145 Studley Road,Heidelberg,3084,Vic,Austin Health (Vic),Eastern Melbourne,www.austin.org.au,Major hospital with an emergency department,Public,>500,-37.756355,145.060236,30
Ayr Hospital,07 4783 0855,2 Chippendale Street,Ayr,4807,Qld,Townsville,Northern Queensland,www.health.qld.gov.au/services/townsville/tville_ayr_hosp.asp,Small hospital,Public,<50,-19.564066,147.408821,31
Babinda Hospital,07 4067 8200,128 Munro Street,Babinda,4861,Qld,Cairns and Hinterland,Northern Queensland,www.health.qld.gov.au/services/cairns-hinterland/cairns_babin_hosp.asp,Regional hospital,Public,<50,-17.343079,145.918908,32
Baillie Henderson Hospital,07 4699 8888,Corner of Hogg and Tor Streets,Toowoomba,4350,Qld,Darling Downs,Darling Downs and West Moreton,www.health.qld.gov.au/services/darlingdowns/ddowns-baillie-hosp.asp,Specialist psychiatric hospital,Public,100-199,-27.524371,151.936283,33
Bairnsdale Regional Health Service,03 5150 3333,122 Day Street,Bairnsdale,3875,Vic,Bairnsdale Regional Health Service,Gippsland,,Small hospital with an emergency department,Public,100-199,-37.830814,147.607905,34
Balaklava Soldiers' Memorial District Hospital,08 8862 1400,16 War Memorial Drive,Balaklava,5461,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/balaklavahospital,Regional hospital,Public,<50,-34.139594,138.419596,35
Ballarat Day Procedure Centre,03 5338 2666,1119-1123 Howitt Street,Wendouree,3350,Vic,,,http://www.curagroup.com.au/ballarat-day-procedure-centre/,,Private,<50,-37.540799,143.83214,36
Ballarat Health Services [Base Campus],03 5320 4000,1 Dummond Street North,Ballarat Central,3350,Vic,Ballarat Health Services,Western Victoria,www.bhs.org.au,Large regional hospital with an emergency department,Public,200-500,-37.559658,143.847041,37
Ballarat Health Services [Queen Elizabeth Campus],03 5320 3700,102 Ascot Street,Ballarat,3350,Vic,Ballarat Health Services,Western Victoria,www.bhs.org.au,Regional hospital,Public,50-99,-37.564276,143.843264,38
Ballina Day Surgery,02 6681 9999,"Suite 6, 46 Tamar Street",Ballina,2478,NSW,,,,,Private,<50,-28.870711,153.563241,39
Ballina Hospital,02 6686 2111,78-92 Cherry Street,Ballina,2478,NSW,Northern NSW,North Coast,,Small hospital with an emergency department,Public,50-99,-28.863525,153.564013,40
Balmain Hospital,02 9395 2111,29 Booth Street,Balmain,2041,NSW,Sydney,Central and Eastern Sydney,www.sswahs.nsw.gov.au/balmain/default.html,Metropolitan hospital,Public,50-99,-33.859469,151.181469,41
Balranald Multi Purpose Service,03 5071 9800,41-43 Court Street,Balranald,2715,NSW,Far West,Western NSW,,Regional hospital with an emergency department,Public,<50,-34.644549,143.568413,42
Bamaga Hospital,07 4069 3166,Sagaukaz Street,Bamaga,4876,Qld,Torres and Cape,Northern Queensland,https://www.health.qld.gov.au/services/torres-cape/torres_bamaga_hosp,Regional hospital,Public,<50,-10.893996,142.385131,43
Bankstown Lidcombe Hospital,02 9722 8000,68 Eldridge Road,Bankstown,2200,NSW,South Western Sydney,South Western Sydney,https://www.swslhd.health.nsw.gov.au/bankstown/,Large metropolitan hospital with an emergency department,Public,200-500,-33.933088,151.020823,44
Baradine Multi Purpose Service,02 6843 4100,5-9 Macquarie Street,Baradine,2396,NSW,Western NSW,Western NSW,,Regional hospital with an emergency department,Public,<50,-30.945316,149.066189,45
Baralaba Hospital,07 4998 2800,Stopford Street,Baralaba,4702,Qld,Central Queensland,"Central Queensland, Wide Bay and Sunshine Coast",www.health.qld.gov.au/services/central-queensland/baralaba.asp,Regional hospital,Public,<50,-24.184268,149.809586,46
Barcaldine Hospital,07 4650 4000,Oak Street,Barcaldine,4725,Qld,Central West (Qld),Western Queensland,www.health.qld.gov.au/services/centralwest/cwest_barc_hosp.asp,Regional hospital,Public,<50,-23.553316,145.293674,47
Barham Hospital,03 5451 1000,70 Punt Road,Barham,2732,NSW,Murrumbidgee,Murrumbidgee,,Regional hospital with an emergency department,Public,<50,-35.623823,144.133479,48
Baringa Private Hospital,02 6659 4444,31 Mackays Road,Coffs Harbour,2450,NSW,,,www.baringaprivate.com.au,,Private,50-99,-30.278813,153.102893,49
Barmera Health Service,08 8588 0400,Hawdon Street,Barmera,5345,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/barmerahospital,Regional hospital,Public,<50,-34.249146,140.471706,50
Barraba Multi Purpose Service,02 6782 2500,Edward Street,Barraba,2347,NSW,Hunter New England,Hunter New England and Central Coast,,Regional hospital with an emergency department,Public,<50,-30.382482,150.605778,51
Bass Coast Regional Health,03 5671 3333,235 Graham Street,Wonthaggi,3995,Vic,Bass Coast Regional Health,Gippsland,www.bcrh.com.au,Small hospital with an emergency department,Public,50-99,-38.608747,145.580906,52
Batemans Bay Hospital,02 4475 1500,7 Pacific Street,Batemans Bay,2536,NSW,Southern NSW,South Eastern NSW,,Small hospital with an emergency department,Public,<50,-35.714055,150.182375,53
Bathurst Health Service,02 6330 5311,361-365 Howick Street,Bathurst,2795,NSW,Western NSW,Western NSW,,Large regional hospital with an emergency department,Public,100-199,-33.406512,149.572699,54
Bathurst Private Hospital,02 6331 7766,Gorman's Hill Road,Bathurst,2795,NSW,,,www.bathurstprivate.com.au,,Private,<50,-33.435215,149.589242,55
Batlow/Adelong Multi Purpose Service,02 6941 4333,61-81 Pioneer Street,Batlow,2730,NSW,Murrumbidgee,Murrumbidgee,,Regional hospital with an emergency department,Public,<50,-35.521951,148.147891,56
Beaconsfield District Health Service,03 6702 6060,13 Bolton Street,Beaconsfield,7270,Tas,Tasmanian Health Service,Tasmania,www.dhhs.tas.gov.au/service_information/service_delivery_points/beaconsfield_district_health_service,Regional hospital,Public,<50,-41.193478,146.806719,57
Beaudesert Hospital,07 5541 9111,64 Tina Street,Beaudesert,4285,Qld,Metro South (Qld),Brisbane South,www.health.qld.gov.au/services/metrosouth/beau-hosp.asp,Regional hospital,Public,<50,-27.984869,153.002536,58
Beaufort & Skipton Health Service [Beaufort],03 5349 1600,28 Havelock Street,Beaufort,3373,Vic,Beaufort and Skipton Health Service,Western Victoria,www.bashs.org.au/services,Regional hospital,Public,<50,-37.431028,143.382284,59
Beaufort & Skipton Health Service [Skipton],03 5340 1100,Blake Street,Skipton,3361,Vic,Beaufort and Skipton Health Service,Western Victoria,www.bashs.org.au/services,Regional hospital,Public,<50,-37.683998,143.367547,60
Beechworth Health Service,03 5728 0200,52 Sydney Road,Beechworth,3747,Vic,Beechworth Health Service,Murray,www.beechworthhealthservice.com.au,Regional hospital,Public,<50,-36.349359,146.690739,61
Bega Valley Private Hospital,02 6492 4144,31 Parker Street,Bega,2550,NSW,,,www.pulsehealth.net.au,,Private,<50,-36.673617,149.845812,62
Beleura Private Hospital,03 5976 0888,925 Nepean Highway,Mornington,3931,Vic,,,www.beleuraprivate.com.au,,Private,100-199,-38.225484,145.049136,63
Bellbird Private Hospital,03 9845 2333,198 Canterbury Road,Blackburn South,3130,Vic,,,www.bellbirdprivatehospital.com.au,,Private,<50,-37.833073,145.156018,64
Bellinger River District Hospital,02 6659 5800,43 Church Street,Bellingen,2454,NSW,Mid North Coast,North Coast,,Small hospital with an emergency department,Public,<50,-30.457256,152.893209,65
Belmont Hospital,02 4923 2000,16 Croudace Bay Road,Belmont,2280,NSW,Hunter New England,Hunter New England and Central Coast,,Medium metropolitan hospital with an emergency department,Public,100-199,-33.024631,151.648181,66
Benalla & District Memorial Hospital,03 5760 2222,45-53 Coster Street,Benalla,3672,Vic,Benalla and District Memorial Hospital,Murray,www.benallahospital.com.au,Small hospital,Public,50-99,-36.555239,145.994675,67
Bendigo Health Care Group [Anne Caudle],03 5454 6000,100 Barnard Street,Bendigo,3550,Vic,Bendigo Health Care Group,Murray,www.bendigohealth.com.au,Regional hospital,Public,<50,-36.750919,144.280399,68
Bentley Hospital,08 9416 3666,18-56 Mills Street,Bentley,6102,WA,East Metropolitan Health Service (WA),Perth South,www.health.wa.gov.au/services/detail.cfm?Unit_ID=16,Metropolitan hospital,Public,100-199,-32.005332,115.927922,69
Berkeley Vale Private Hospital,02 4389 9100,Lorraine Avenue,Berkeley Vale,2261,NSW,,,www.berkeleyvaleprivate.com.au,,Private,50-99,-33.337061,151.432784,70
Berrigan Multi Purpose Service,03 5888 5300,137-143 Memorial Place,Berrigan,2712,NSW,Murrumbidgee,Murrumbidgee,,Regional hospital with an emergency department,Public,<50,-35.662312,145.813035,71
Berwick Eye and Surgicentre,03 9768 9210,22 Langmore Lane,Berwick,3806,Vic,,,www.berwickeye.com.au,,Private,<50,-38.033667,145.346487,72
Bethesda Hospital,08 9340 6300,25 Queenslea Drive,Claremont,6010,WA,,,www.bethesda.asn.au,,Private,50-99,-31.986967,115.778484,73
Beverley Hospital,08 9646 3200,Sewell Street,Beverley,6304,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=18,Regional hospital,Public,<50,-32.102825,116.922962,74
Biggenden Hospital,07 4127 6400,Alice Street,Biggenden,4621,Qld,Wide Bay,"Central Queensland, Wide Bay and Sunshine Coast",www.health.qld.gov.au/services/widebay/wb-biggenden.asp,Regional hospital,Public,<50,-25.506406,152.051099,75
Biloela Hospital,07 4992 7000,2 Hospital Road,Biloela,4715,Qld,Central Queensland,"Central Queensland, Wide Bay and Sunshine Coast",www.health.qld.gov.au/services/central-queensland/biloela.asp,Small hospital,Public,<50,-24.395813,150.517491,76
Bingara Multi Purpose Service,02 6728 0100,Keera Street,Bingara,2404,NSW,Hunter New England,Hunter New England and Central Coast,,Regional hospital with an emergency department,Public,<50,-29.864055,150.579235,77
Blackall Hospital,07 4650 7700,Shamrock Street,Blackall,4472,Qld,Central West (Qld),Western Queensland,www.health.qld.gov.au/services/centralwest/cwest_blackall_hosp.asp,Regional hospital,Public,<50,-24.422705,145.449349,78
Blacktown Hospital,02 9881 8000,Blacktown Road,Blacktown,2148,NSW,Western Sydney,Western Sydney,http://www.wslhd.health.nsw.gov.au/Blacktown-Mount-Druitt-Hospital,Large metropolitan hospital with an emergency department,Public,200-500,-33.775552,150.917537,79
Blackwater Hospital,07 4980 1800,Mackenzie Street,Blackwater,4717,Qld,Central Queensland,"Central Queensland, Wide Bay and Sunshine Coast",www.health.qld.gov.au/services/central-queensland/blackwater.asp,Regional hospital,Public,<50,-23.571873,148.878219,80
Blayney Multi Purpose Service,02 6368 9000,3 Osman Street,Blayney,2799,NSW,Western NSW,Western NSW,,Regional hospital with an emergency department,Public,<50,-33.537728,149.248988,81
Blue Mountains Hospital,02 4784 6500,Lot 3 Woodlands Road,Katoomba,2780,NSW,Nepean Blue Mountains,Nepean Blue Mountains,www.nbmlhd.health.nsw.gov.au/Blue-Mountains-Hospital,Small hospital with an emergency department,Public,50-99,-33.705329,150.32111,82
Boddington Hospital,08 9883 4444,46-53 Hotham Avenue,Boddington,6390,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=19,Regional hospital,Public,<50,-32.803715,116.475774,83
Boggabri Multi Purpose Service,02 6749 7000,3 Wee Waa Street,Boggabri,2382,NSW,Hunter New England,Hunter New England and Central Coast,,Regional hospital with an emergency department,Public,<50,-30.711502,150.040014,84
Bombala Multi Purpose Service,02 6458 5777,126-128 Wellington Street,Bombala,2632,NSW,Southern NSW,South Eastern NSW,,Regional hospital with an emergency department,Public,<50,-36.917513,149.235372,85
Bonalbo Hospital,02 6665 1203,Clarence Way,Bonalbo,2469,NSW,Northern NSW,North Coast,,Regional hospital,Public,<50,-28.733777,152.622789,86
Booleroo Centre District Hospital and Health Services,08 8667 2211,Stephens Street,Booleroo Centre,5482,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/booleroohospital,Regional hospital,Public,<50,-32.877911,138.350958,87
Boonah Hospital,07 5463 3300,11-17 Leonard Street,Boonah,4310,Qld,West Moreton,Darling Downs and West Moreton,www.health.qld.gov.au/services/westmoreton/boonah-hs.asp,Regional hospital,Public,<50,-27.999128,152.678943,88
Boorowa Multi Purpose Service,02 6385 3004,62-80 Dry Street,Boorowa,2586,NSW,Murrumbidgee,Murrumbidgee,,Regional hospital with an emergency department,Public,<50,-34.442822,148.727073,89
Boort District Health,03 5451 5200,31 Kiniry Street,Boort,3537,Vic,Boort District Health,Murray,www.bdh.vic.gov.au,Regional hospital,Public,<50,-36.111703,143.727285,90
Bordertown Memorial Hospital,08 8752 9000,23 South Terrace,Bordertown,5268,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/bordertownhospital,Small hospital,Public,<50,-36.312133,140.766438,91
Bourke Multi Purpose Service,02 6870 8888,26 Tarcoon Street,Bourke,2840,NSW,Western NSW,Western NSW,,Regional hospital with an emergency department,Public,<50,-30.092823,145.947983,92
Bourke Street Health Service,02 4823 7800,234 Bourke Street,Goulburn,2580,NSW,Southern NSW,South Eastern NSW,,Regional hospital,Public,<50,-34.748721,149.719321,93
Bowen Hospital,07 4786 8222,Gregory Street,Bowen,4805,Qld,Mackay,Northern Queensland,www.health.qld.gov.au/services/mackay/bowen_hosp.asp,Small hospital,Public,<50,-20.007104,148.240327,94
Bowral Hospital,02 4861 0200,Lot 3 Mona Road,Bowral,2576,NSW,South Western Sydney,South Western Sydney,https://www.swslhd.health.nsw.gov.au/bowral/,Medium regional hospital with an emergency department,Public,50-99,-34.485043,150.423796,95
Box Hill Hospital,1300 342 255,8 Arnold Street,Box Hill,3128,Vic,Eastern Health (Vic),Eastern Melbourne,https://www.easternhealth.org.au/locations/box-hill-hospital,Large metropolitan hospital with an emergency department,Public,>500,-37.813682,145.119094,96
Boyup Brook Soldiers Memorial Hospital,08 9765 0222,Hospital Road,Boyup Brook,6244,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=20,Regional hospital,Public,<50,-33.839231,116.390639,97
Braeside Hospital,02 9616 8600,340 Prairie Vale Road,Prairiewood,2176,NSW,South Western Sydney,South Western Sydney,,Metropolitan hospital,Public,50-99,-33.861917,150.902192,98
Braidwood Multi Purpose Service,02 4842 2566,77 Monkittee Street,Braidwood,2622,NSW,Southern NSW,South Eastern NSW,,Regional hospital with an emergency department,Public,<50,-35.443216,149.805302,99
Brewarrina Multi Purpose Service,02 6830 5000,56 Doyle Street,Brewarrina,2839,NSW,Western NSW,Western NSW,,Regional hospital with an emergency department,Public,<50,-29.961627,146.863796,100
Bridgetown Hospital,08 9782 1222,16-18 Peninsula Road,Bridgetown,6255,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=22,Small hospital,Public,<50,-33.951681,116.132183,101
Brindabella Endoscopy and Day Surgery Centre,02 6282 7788,"Suite 7, 5 Dann Close",Garran,2605,ACT,,,http://www.curagroup.com.au/brindabella-endoscopy-centre,,Private,<50,-35.3495,149.1031,102
Brisbane Endoscopy Services,07 3344 1844,Suites 16-18/259 McCullough Street,Sunnybank,4109,Qld,,,www.gastros.com.au,,Private,<50,-27.572418,153.061985,103
Brisbane Private Hospital,07 3834 6111,259 Wickham Terrace,Brisbane,4000,Qld,,,www.brisbaneprivatehospital.com.au,,Private,100-199,-27.464756,153.022642,104
Brisbane Waters Private Hospital,02 4341 9522,21 Vidler Avenue,Woy Woy,2256,NSW,,,www.brisbanewatersprivatehospital.com.au,,Private,50-99,-33.495233,151.321708,105
Broadmeadows Health Service,03 8345 5000,35 Johnstone Street,Broadmeadows,3047,Vic,Northern Health (Vic),North Western Melbourne,,Small hospital,Public,100-199,-37.684321,144.913106,106
Broken Hill Hospital,08 8080 1333,176 Thomas Street,Broken Hill,2880,NSW,Far West,Western NSW,,Medium regional hospital with an emergency department,Public,100-199,-31.947609,141.454703,107
Broome Hospital,08 9194 2222,Robinson Street,Broome,6725,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=24,Small hospital with an emergency department,Public,50-99,-17.960975,122.236289,108
Bruce Rock Memorial Hospital,08 9061 1311,35 Dunstall Street,Bruce Rock,6418,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=25,Regional hospital,Public,<50,-31.873038,118.146414,109
Buderim Gastroenterology Centre,07 5475 4464,"Suite 5, 102 Wises Road",Maroochydore,4558,Qld,,,http://www.buderimgastro.com.au/,,Private,<50,-26.671731,153.084944,110
Buderim Private Hospital,07 5430 3303,12 Elsa Wilson Drive,Buderim,4556,Qld,,,http://buderimprivatehospital.com.au/,,Private,100-199,-26.683988,153.092895,111
Bulahdelah Hospital,02 4987 9900,Richmond Street,Bulahdelah,2423,NSW,Hunter New England,Hunter New England and Central Coast,,Regional hospital with an emergency department,Public,<50,-32.403949,152.210029,112
Bulli Hospital,02 4284 4344,Hospital Road,Bulli,2516,NSW,Illawarra Shoalhaven,South Eastern NSW,www.islhd.health.nsw.gov.au/Bulli_Hospital/default.asp,Small hospital with an emergency department,Public,50-99,-34.336667,150.907344,113
Bunbury Hospital,08 9722 1000,Corner of Robertson Drive and Bussell Highway,Bunbury,6230,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=29,Medium regional hospital with an emergency department,Public,100-199,-33.366986,115.648183,114
Bundaberg Base Hospital,07 4150 2222,Bourbong Street,Bundaberg,4670,Qld,Wide Bay,"Central Queensland, Wide Bay and Sunshine Coast",www.health.qld.gov.au/services/widebay/wb-bundaberg.asp,Large regional hospital with an emergency department,Public,200-500,-24.868877,152.336157,115
Bundoora Extended Care Centre,03 9495 3100,1231 Plenty Road,Bundoora,3083,Vic,Northern Health (Vic),North Western Melbourne,,Specialist rehabilitation hospital,Public,50-99,-37.701124,145.055569,116
Burnside War Memorial Hospital,08 8202 7222,120 Kensington Road,Toorak Gardens,5065,SA,,,www.burnsidehospital.asn.au,,Private,50-99,-34.927126,138.638878,117
Burra Hospital,08 8892 2300,46 Commercial Street,Burra,5417,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/burrahospital,Regional hospital,Public,<50,-33.685486,138.934577,118
Busselton Health Campus,08 9753 6000,Mill Road,Busselton,6280,WA,WA Country Health Service,Country WA,www.wacountry.health.wa.gov.au/bhc,Small hospital with an emergency department,Public,50-99,-33.654351,115.319581,119
Byron Central Hospital,02 6639 9400,54 Ewingsdale Road,Ewingsdale,2481,NSW,Northern NSW,North Coast,http://nnswlhd.health.nsw.gov.au/about/hospitals/byron-central-hospital/,Small hospital with an emergency department,Public,<50,-28.637365,153.555898,120
Caboolture Hospital,07 5433 8888,McKean Street,Caboolture,4510,Qld,Metro North (Qld),Brisbane North,www.health.qld.gov.au/services/metronorth/metronorth_cabool_hosp.asp,Medium metropolitan hospital with an emergency department,Public,200-500,-27.080776,152.963623,121
Caboolture Private Hospital,07 5495 9400,McKean Street,Caboolture,4510,Qld,,,www.cabooltureprivate.com.au,,Private,<50,-27.080318,152.963628,122
Cabrini Brighton,03 9508 8777,243 New Street,Brighton,3186,Vic,,,www.cabrini.com.au,,Private,100-199,-37.91165,144.991572,123
Cabrini Health Elsternwick Rehabilitation - Glenhuntly Rd,03 9508 5200,494 Glenhuntly Road,Elsternwick,3185,Vic,,,www.cabrini.com.au,,Private,<50,-37.88543,145.009328,124
Cabrini Health Elsternwick Rehabilitation - Hopetoun,03 9508 5100,2-6 Hopetoun Street,Elsternwick,3185,Vic,,,www.cabrini.com.au,,Private,<50,-37.884778,145.01039,125
Cabrini Malvern,03 9508 1222,183 Wattletree Road,Malvern,3144,Vic,,,www.cabrini.com.au,,Private,>500,-37.861641,145.0335,126
Cabrini Prahran,03 95081000,646 High Street,Prahran,3181,Vic,,,www.cabrini.com.au,,Private,<50,-37.854034,145.009017,127
Cairns Day Surgery,07 4051 5454,156-160 Grafton Street,Cairns,4870,Qld,,,,,Private,,-16.918973,145.771955,128
Cairns Hospital,07 4226 0000,The Esplanade,Cairns,4870,Qld,Cairns and Hinterland,Northern Queensland,www.health.qld.gov.au/services/cairns-hinterland/cairns_cairns_hosp.asp,Large regional hospital with an emergency department,Public,>500,-16.912537,145.768522,129
Cairns Private Hospital,07 4052 5200,1 Upward Street,Cairns,4870,Qld,,,www.cairnsph.com.au,,Private,100-199,-16.918854,145.772282,130
Caloundra Hospital,07 5436 8500,West Terrace,Caloundra,4551,Qld,Sunshine Coast,"Central Queensland, Wide Bay and Sunshine Coast",www.health.qld.gov.au/services/sunshinecoast/caloundra.asp,Medium-sized metropolitan hospital,Public,<50,-26.800582,153.119759,131
Caloundra Private Clinic,07 5491 1522,96 Beerburrum Street,Caloundra,4551,Qld,,,www.caloundraprivateclinic.com.au/,,Private,50-99,-26.782379,153.125534,132
Calvary Central Districts Hospital,08 8250 4111,25-37 Jarvis Road,Elizabeth Vale,5112,SA,,,www.calvarycentraldistricts.org.au,,Private,50-99,-34.75542,138.656221,133
Calvary Health Care Bethlehem,03 9596 2853,152 Como Parade West,Parkdale,3195,Vic,Calvary Health Care Bethlehem Limited,South Eastern Melbourne,www.bethlehem.org.au/,Metropolitan hospital,Public,<50,-37.896962,145.013415,134
Calvary Health Care Riverina,02 6925 3055,Hardy Avenue,Wagga Wagga,2650,NSW,,,www.calvary-wagga.com.au,,Private,50-99,-35.118702,147.352811,135
Calvary Health Care Tasmania - Lenah Valley Campus,03 6278 5333,49 Augusta Road,Lenah Valley,7008,Tas,,,www.calvarylenahvalley.org.au,,Private,100-199,-42.866099,147.303614,136
Calvary Health Care Tasmania - St John's Campus,03 6323 7444,30 Cascade Road,South Hobart,7004,Tas,,,www.calvarystjohns.org.au,,Private,50-99,-42.895314,147.305975,137
Calvary Health Care Tasmania - St Luke's Campus,03 6335 3333,24 Lyttleton Street,Launceston,7250,Tas,,,www.calvarystlukes.org.au,,Private,50-99,-41.433895,147.149521,138
Calvary Health Care Tasmania - St Vincent's Campus,03 6332 4999,5 Frederick Street,Launceston,7250,Tas,,,www.calvarystvincents.org.au,,Private,50-99,-41.441013,147.141308,139
